run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 71.05, 0.014074595355383532
3, 2, 146.44, 0.013657470636438131
5, 3, 210.18, 0.014273479874393378
7, 4, 290.68, 0.013760836658868859
8, 5, 357.2, 0.013997760358342666
9, 6, 412.02, 0.0145623998835008
10, 7, 479.92, 0.014585764294049008
11, 9, 608.76, 0.01478415138971023
12, 11, 727.21, 0.015126304643775526
13, 14, 895.58, 0.01563232765358762
14, 17, 1074.06, 0.015827793605571384
15, 21, 1272.81, 0.01649892756970797
16, 25, 1493.75, 0.016736401673640166
17, 31, 1739.1, 0.017825311942959002
18, 38, 1347.86, 0.028192839018889203
19, 46, 1584.24, 0.029036004645760744
20, 56, 1793.68, 0.031220730565095223
21, 69, 2139.69, 0.032247662044501774
22, 84, 1959.72, 0.042863266180882986
23, 103, 2234.07, 0.046104195481788846
24, 126, 2220.12, 0.056753688989784334
25, 154, 2577.96, 0.05973715651135006
26, 188, 2528.6, 0.07434944237918216
27, 230, 2601.3, 0.08841732979664015
28, 282, 2695.92, 0.10460251046025104
29, 345, 2642.7, 0.13054830287206268
30, 422, 2177.52, 0.1937984496124031
31, 516, 2755.44, 0.18726591760299627
32, 631, 2871.05, 0.21978021978021978
33, 772, 2794.64, 0.27624309392265195
34, 944, 2841.44, 0.33222591362126247
35, 1155, 2829.75, 0.40816326530612246
36, 1413, 2826, 0.5
37, 1728, 2885.76, 0.5988023952095808
38, 2113, 2915.94, 0.7246376811594203
39, 2585, 2791.8, 0.9259259259259259
40, 3162, 2909.04, 1.0869565217391304
41, 3868, 2939.68, 1.3157894736842106
42, 4732, 2904.792079207921, 1.6290322580645162
43, 5788, 2894, 2
44, 7079, 2943.7425742574255, 2.4047619047619047
45, 8660, 2915.2475247524753, 2.9705882352941178
46, 10593, 2936.6732673267325, 3.607142857142857
47, 12957, 2950.6039603960394, 4.391304347826087
48, 15849, 2923.6019417475727, 5.421052631578948
49, 19387, 2954.209523809524, 6.5625
50, 23714, 2964.25, 8
51, 29007, 2900.7, 10
52, 35481, 2902.990909090909, 12.222222222222221
53, 43401, 2839.3177570093458, 15.285714285714286
54, 53088, 2818.83185840708, 18.833333333333332
55, 64938, 2848.157894736842, 22.8
56, 79433, 2862.4504504504503, 27.75
57, 97163, 2900.3880597014927, 33.5
58, 118850, 2922.5409836065573, 40.666666666666664
59, 145378, 2219.5114503816794, 65.5
60, 177828, 2939.305785123967, 60.5
61, 217520, 2919.731543624161, 74.5
62, 266073, 2293.7327586206898, 116
63, 325462, 2155.3774834437086, 151
64, 398107, 2000.537688442211, 199
65, 486968, 1248.6358974358975, 390
66, 595662, 1215.6367346938775, 490
67, 728618, 2099.763688760807, 347
68, 891251, 1220.8917808219178, 730
69, 1090184, 1272.0933488914818, 857
70, 1333521, 2130.2252396166136, 626
71, 1631173, 1273.359094457455, 1281
72, 1995262, 2173.488017429194, 918
73, 2440619, 1216.659521435693, 2006
74, 2985383, 1262.3183932346724, 2365
75, 3651741, 2103.5374423963135, 1736
76, 4466836, 1289.8746751371643, 3463
77, 5463865, 1268.0122998375493, 4309
78, 6683439, 1267.002654028436, 5275
79, 8175230, 1261.4149051072366, 6481
80, 10000000, 1223.540927444023, 8173
