run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 62.91, 0.015895724050230486
3, 2, 155.58, 0.012855122766422419
5, 3, 232.5, 0.012903225806451613
7, 4, 310.32, 0.012889920082495489
8, 5, 405, 0.012345679012345678
9, 6, 484.26, 0.012390038409119068
10, 7, 505.26, 0.013854253255749516
11, 9, 727.56, 0.012370113805047007
12, 11, 855.14, 0.012863390789812194
13, 14, 1140.44, 0.012275963663147557
14, 17, 1373.94, 0.012373174956693888
15, 21, 1697.01, 0.012374706100730107
16, 25, 1896, 0.013185654008438819
17, 31, 2382.04, 0.013014055179593961
18, 38, 3053.68, 0.012444001991040319
19, 46, 3595.82, 0.01279263144428809
20, 56, 2526.72, 0.022163120567375887
21, 69, 3117.42, 0.02213368747233289
22, 84, 3815.28, 0.022016732716864818
23, 103, 4672.08, 0.02204585537918871
24, 126, 3967.74, 0.031756113051762465
25, 154, 4829.44, 0.03188775510204082
26, 188, 4555.24, 0.041271151465125874
27, 230, 5055.4, 0.04549590536851683
28, 282, 5304.42, 0.0531632110579479
29, 345, 5689.05, 0.06064281382656155
30, 422, 5983.96, 0.07052186177715092
31, 516, 5748.24, 0.08976660682226212
32, 631, 6385.72, 0.09881422924901186
33, 772, 5905.8, 0.13071895424836602
34, 944, 6447.52, 0.14641288433382138
35, 1155, 6237, 0.18518518518518517
36, 1413, 6344.37, 0.22271714922049
37, 1728, 6393.6, 0.2702702702702703
38, 2113, 6339, 0.3333333333333333
39, 2585, 6540.05, 0.3952569169960474
40, 3162, 6576.96, 0.4807692307692308
41, 3868, 6498.24, 0.5952380952380952
42, 4732, 6719.44, 0.704225352112676
43, 5788, 6771.96, 0.8547008547008547
44, 7079, 6795.84, 1.0416666666666667
45, 8660, 6668.2, 1.2987012987012987
46, 10593, 6567.66, 1.6129032258064515
47, 12957, 6414.3564356435645, 2.02
48, 15849, 6656.58, 2.380952380952381
49, 19387, 6652.401960784314, 2.914285714285714
50, 23714, 6676.757281553398, 3.5517241379310347
51, 29007, 6671.61, 4.3478260869565215
52, 35481, 6741.39, 5.2631578947368425
53, 43401, 6677.076923076923, 6.5
54, 53088, 6700.42718446602, 7.923076923076923
55, 64938, 6553.376146788991, 9.909090909090908
56, 79433, 6681.280373831775, 11.88888888888889
57, 97163, 6668.049019607844, 14.571428571428571
58, 118850, 6664.485981308411, 17.833333333333332
59, 145378, 6608.090909090909, 22
60, 177828, 6647.77570093458, 26.75
61, 217520, 6460.990099009901, 33.666666666666664
62, 266073, 6651.825, 40
63, 325462, 6642.081632653061, 49
64, 398107, 6635.116666666667, 60
65, 486968, 6580.648648648648, 74
66, 595662, 6655.441340782123, 89.5
67, 728618, 6623.8, 110
68, 891251, 6505.481751824817, 137
69, 1090184, 6647.463414634146, 164
70, 1333521, 6634.432835820896, 201
71, 1631173, 6550.895582329317, 249
72, 1995262, 6628.777408637874, 301
73, 2440619, 7509.596923076923, 325
74, 2985383, 24672.586776859505, 121
75, 3651741, 24508.328859060402, 149
76, 4466836, 24815.755555555555, 180
77, 5463865, 24835.75, 220
78, 6683439, 24938.205223880595, 268
79, 8175230, 24924.481707317074, 328
80, 10000000, 24937.65586034913, 401
