run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 24.24, 0.041254125412541254
3, 2, 55.14, 0.03627130939426913
5, 3, 84.81, 0.035373187124159884
7, 4, 114.24, 0.0350140056022409
8, 5, 139.9, 0.035739814152966405
9, 6, 178.56, 0.033602150537634407
10, 7, 184.66, 0.03790750568612585
11, 9, 243.63, 0.03694126339120798
12, 11, 284.24, 0.03869969040247678
13, 14, 359.94, 0.038895371450797356
14, 17, 402.73, 0.04221190375685943
15, 21, 498.12, 0.04215851602023609
16, 25, 525.5, 0.047573739295908656
17, 31, 628.99, 0.04928536224741252
18, 38, 627.76, 0.06053268765133172
19, 46, 730.02, 0.0630119722747322
20, 56, 779.52, 0.07183908045977011
21, 69, 929.43, 0.07423904974016332
22, 84, 946.68, 0.08873114463176575
23, 103, 1046.48, 0.0984251968503937
24, 126, 1026.9, 0.12269938650306748
25, 154, 1196.58, 0.1287001287001287
26, 188, 1159.96, 0.1620745542949757
27, 230, 1283.4, 0.17921146953405018
28, 282, 1336.68, 0.2109704641350211
29, 345, 1342.05, 0.2570694087403599
30, 422, 1384.16, 0.3048780487804878
31, 516, 1444.8, 0.35714285714285715
32, 631, 1438.68, 0.43859649122807015
33, 772, 1459.08, 0.5291005291005291
34, 944, 1510.4, 0.625
35, 1155, 1420.65, 0.8130081300813008
36, 1413, 1511.91, 0.9345794392523364
37, 1728, 1471.3663366336634, 1.1744186046511629
38, 2113, 1500.23, 1.408450704225352
39, 2585, 1499.3, 1.7241379310344827
40, 3162, 1364, 2.3181818181818183
41, 3868, 1493.5841584158416, 2.58974358974359
42, 4732, 1484.549019607843, 3.1875
43, 5788, 1461.0485436893205, 3.9615384615384617
44, 7079, 1457.4411764705883, 4.857142857142857
45, 8660, 1457.6237623762377, 5.9411764705882355
46, 10593, 1453.9411764705883, 7.285714285714286
47, 12957, 1466.8301886792453, 8.833333333333334
48, 15849, 1440.8181818181818, 11
49, 19387, 1463.1698113207547, 13.25
50, 23714, 1469.0088495575221, 16.142857142857142
51, 29007, 1272.2368421052631, 22.8
52, 35481, 1244.9473684210527, 28.5
53, 43401, 1205.5833333333333, 36
54, 53088, 1225.1076923076923, 43.333333333333336
55, 64938, 1129.3565217391304, 57.5
56, 79433, 1142.9208633093526, 69.5
57, 97163, 1143.0941176470587, 85
58, 118850, 1306.043956043956, 91
59, 145378, 1298.017857142857, 112
60, 177828, 1298.014598540146, 137
61, 217520, 1215.195530726257, 179
62, 266073, 1231.8194444444443, 216
63, 325462, 1134.01393728223, 287
64, 398107, 1224.9446153846154, 325
65, 486968, 1114.3432494279177, 437
66, 595662, 1121.774011299435, 531
67, 728618, 1140.2472613458528, 639
68, 891251, 1051.003537735849, 848
69, 1090184, 1085.8406374501992, 1004
70, 1333521, 1144.6532188841202, 1165
71, 1631173, 1239.493161094225, 1316
72, 1995262, 1245.481897627965, 1602
73, 2440619, 1223.3679197994988, 1995
74, 2985383, 1242.3566375364128, 2403
75, 3651741, 1146.183615819209, 3186
76, 4466836, 1165.058946270214, 3834
77, 5463865, 1196.1175569176883, 4568
78, 6683439, 1209.4533116178068, 5526
79, 8175230, 1236.9844151914056, 6609
80, 10000000, 1243.1626056688215, 8044
