iterations (N), time (ms), iterations/ms (ops/ms), hash
1, 0.13717421124828533, 7.29, 3816b2a39e009724310a2e3b936bf402b252fcd3
2, 0.12285012285012285, 16.28, 06ba99a17903eb031ad3957dcb58c59106f9c548
3, 0.14534883720930233, 20.64, 80ee36676c44a2df6bae853c55b7d9c65d896f33
4, 0.17699115044247787, 22.6, 2e58a118f7ea736f5dc53c584b5bd28c3cbda2d9
5, 0.20618556701030927, 24.25, deb8ae696061331406503428922b589a4f887e88
6, 0.234192037470726, 25.62, 1e9f4b726b895d5e1cb595b81b904fc499d7349f
7, 0.27472527472527475, 25.48, 00904b826673a9ccacebe5a53c9100c38d51e2e4
8, 0.2932551319648094, 27.28, b2daa520bc809c2bafaa619903f7b22c4c24bdd8
9, 0.3225806451612903, 27.9, 8d655a0a94461a9decf9a277404992e46dd0fe70
10, 0.352112676056338, 28.4, 84816378aa1af4a0f81972b881256b3f9e38bd5e
11, 0.3816793893129771, 28.82, 1ffd34f7c55f96f2e49d742f178a37d5e40f9627
13, 0.3401360544217687, 38.22, e41a28e864b1a86e8ff425f3c0d53c061ac3cce0
14, 0.29239766081871343, 47.88, f6734e62bd1dbdd4e803d81e940ab6bb64603068
16, 0.32679738562091504, 48.96, 0c2221ce0da127c7ea698be4c1bf43ceec4bd7d8
18, 0.36363636363636365, 49.5, aee42b4e07f68a36b1a2bd7c527d753910171cc1
20, 0.3968253968253968, 50.4, 71ff254c91d9bea2fa9b3c941826176087bc3792
22, 0.43478260869565216, 50.6, 8c2132e16796a291c97fa103ec1332eac0e32138
25, 0.4878048780487805, 51.25, 87fdc743cdad242cbd2d66c209bd3a3e30b3fd9f
28, 0.5405405405405406, 51.8, 68fbb26c91c9924063175abf93148e6a65760a3e
32, 0.6097560975609756, 52.48, 42493fd0fbd1edf9e2c10f443070d9cae63b12ea
35, 0.6666666666666666, 52.5, 7999b062e112d18d05a6b778f257067e96aa6f29
40, 0.7518796992481203, 53.2, 0b349e719fe3dce2fb16fdbd4e4081866a6c25b0
45, 0.847457627118644, 53.1, 410f8dbc337031d4a54acb89854038bf7660838d
50, 0.9615384615384616, 52, 2467dd6e3bc523715500941611b6ad82084e46e5
56, 1.0309278350515463, 54.32, 2f27391f845c79ad945b7648cb03b79f982e2b3b
63, 1.1627906976744187, 54.18, 736e0d39b39532560b8e11a802a5fb1521d14a1f
71, 1.2987012987012987, 54.67, fc66ffcd57b37938f579eb200ae6ceee197be8fa
79, 1.4428571428571428, 54.75247524752475, 42149853d339a7e760398f4c581c21549e319be6
89, 1.6290322580645162, 54.633663366336634, 8c6817376d03945defff44c541e4076e03e0e9a7
100, 1.8035714285714286, 55.445544554455445, ce34f4992b0bfcdf6f3a9297341e9bd60871c98f
112, 2.061224489795918, 54.336633663366335, 2b55e278e74b3bf252f92b85fb8b3c708c482e43
126, 2.2954545454545454, 54.89108910891089, 003e97b93a12d56b21486ccd5805632ea027ddde
141, 2.525, 55.84158415841584, 7de6f9f69bdf448edcd4d406335fcc5e4ed1ccad
158, 2.857142857142857, 55.3, dcc0419ed1ee9610539f4313530afb390f59ca84
