iterations (N), time (ms), iterations/ms (ops/ms), hash
1, 0.07132667617689016, 14.02, 3816b2a39e009724310a2e3b936bf402b252fcd3
2, 0.09784735812133072, 20.44, 06ba99a17903eb031ad3957dcb58c59106f9c548
3, 0.13458950201884254, 22.29, 80ee36676c44a2df6bae853c55b7d9c65d896f33
4, 0.17667844522968199, 22.64, 2e58a118f7ea736f5dc53c584b5bd28c3cbda2d9
5, 0.21739130434782608, 23, deb8ae696061331406503428922b589a4f887e88
6, 0.25839793281653745, 23.22, 1e9f4b726b895d5e1cb595b81b904fc499d7349f
7, 0.33557046979865773, 20.86, 00904b826673a9ccacebe5a53c9100c38d51e2e4
8, 0.3412969283276451, 23.44, b2daa520bc809c2bafaa619903f7b22c4c24bdd8
9, 0.38022813688212925, 23.67, 8d655a0a94461a9decf9a277404992e46dd0fe70
10, 0.425531914893617, 23.5, 84816378aa1af4a0f81972b881256b3f9e38bd5e
11, 0.4672897196261682, 23.54, 1ffd34f7c55f96f2e49d742f178a37d5e40f9627
13, 0.6134969325153374, 21.19, e41a28e864b1a86e8ff425f3c0d53c061ac3cce0
14, 0.5882352941176471, 23.8, f6734e62bd1dbdd4e803d81e940ab6bb64603068
16, 0.6711409395973155, 23.84, 0c2221ce0da127c7ea698be4c1bf43ceec4bd7d8
18, 0.7692307692307693, 23.4, aee42b4e07f68a36b1a2bd7c527d753910171cc1
20, 0.8620689655172413, 23.2, 71ff254c91d9bea2fa9b3c941826176087bc3792
22, 0.9174311926605505, 23.98, 8c2132e16796a291c97fa103ec1332eac0e32138
25, 1.0416666666666667, 24, 87fdc743cdad242cbd2d66c209bd3a3e30b3fd9f
28, 1.1744186046511629, 23.84158415841584, 68fbb26c91c9924063175abf93148e6a65760a3e
32, 1.3289473684210527, 24.07920792079208, 42493fd0fbd1edf9e2c10f443070d9cae63b12ea
35, 1.4492753623188406, 24.15, 7999b062e112d18d05a6b778f257067e96aa6f29
40, 1.9230769230769231, 20.8, 0b349e719fe3dce2fb16fdbd4e4081866a6c25b0
45, 1.8518518518518519, 24.3, 410f8dbc337031d4a54acb89854038bf7660838d
50, 2.0833333333333335, 24, 2467dd6e3bc523715500941611b6ad82084e46e5
56, 2.3488372093023258, 23.84158415841584, 2f27391f845c79ad945b7648cb03b79f982e2b3b
63, 2.58974358974359, 24.326732673267326, 736e0d39b39532560b8e11a802a5fb1521d14a1f
71, 2.9411764705882355, 24.14, fc66ffcd57b37938f579eb200ae6ceee197be8fa
79, 3.2580645161290325, 24.247524752475247, 42149853d339a7e760398f4c581c21549e319be6
